Province,District,Constituency,Winner,Candidate,Votes,Margin,Wikipedia
4,Syangja,Syangja 1,NC,"राजु थापा",68594,0.047453,"https://en.wikipedia.org/wiki/Syangja_1_constituency"
4,Syangja,Syangja 2,NC,"धनराज गुरुङ्ग",67657,0.08317,"https://en.wikipedia.org/wiki/Syangja_2_constituency"
4,Tanahun,Tanahun 1,NC,"रामचन्द्र पौडेल",62695,0.085812,"https://en.wikipedia.org/wiki/Tanahun_1_constituency"
4,Tanahun,Tanahun 2,NC,"शंकर भण्डारी",64236,0.085217,"https://en.wikipedia.org/wiki/Tanahun_2_constituency"
5,Arghakhanchi,Arghakhanchi 1,UML,"टोप बहादुर रायमाझी",87809,0.019702,"https://en.wikipedia.org/wiki/Arghakhanchi_1_constituency"
5,Banke,Banke 1,UML,"सुर्य प्रसाद ढकाल",70811,0.076175,"https://en.wikipedia.org/wiki/Banke_1_constituency"
5,Banke,Banke 2,RPP,"धवलशम्मशेर जगंबहादुर राणा",62601,0.096756,"https://en.wikipedia.org/wiki/Banke_2_constituency"
5,Banke,Banke 3,NC,"किशोर सिह राठोर",69074,0.069375,"https://en.wikipedia.org/wiki/Banke_3_constituency"
5,Bardiya,Bardiya 1,NC,"संजय कुमार गौतम",97981,0.045478,"https://en.wikipedia.org/wiki/Bardiya_1_constituency"
5,Bardiya,Bardiya 2,Independent,"लालविर चौधरी",86812,0.001567,"https://en.wikipedia.org/wiki/Bardiya_2_constituency"
5,Dang,Dang 1,US,"मेटमणि चौधरी",73687,0.068981,"https://en.wikipedia.org/wiki/Dang_1_constituency"
5,Dang,Dang 2,Maoist,"रेखा शर्मा",74530,0.00259,"https://en.wikipedia.org/wiki/Dang_2_constituency"
5,Dang,Dang 3,NC,"दिपक गिरी",85112,0.091867,"https://en.wikipedia.org/wiki/Dang_3_constituency"
5,Gulmi,Gulmi 1,NC,"चन्द्रकान्त भण्डारी",68664,0.023185,"https://en.wikipedia.org/wiki/Gulmi_1_constituency"
5,Gulmi,Gulmi 2,UML,"गोकर्ण राज विष्‍ट",56593,0.035959,"https://en.wikipedia.org/wiki/Gulmi_2_constituency"
5,Kapilvastu,Kapilvastu 1,UML,"बलराम अधिकारी",86549,0.181308,"https://en.wikipedia.org/wiki/Kapilvastu_1_constituency"
5,Kapilvastu,Kapilvastu 2,NC,"सुरेन्द्र राज आचार्य",80730,0.003927,"https://en.wikipedia.org/wiki/Kapilvastu_2_constituency"
5,Kapilvastu,Kapilvastu 3,UML,"मंगल प्रसाद गुप्‍ता",72774,0.049963,"https://en.wikipedia.org/wiki/Kapilvastu_3_constituency"
5,Nawalparasi West,Nawalparasi West 1,NC,"विनोद कुमार चौधरी",158170,0,"https://en.wikipedia.org/wiki/Nawalparasi_West%201_constituency"
5,Nawalparasi West,Nawalparasi West 2,RPP,"धुब्र बहादुर प्रधान",166244,0,"https://en.wikipedia.org/wiki/Nawalparasi_West%202_constituency"
5,Palpa,Palpa 1,UML,"नारायण प्रसाद आचार्य",56838,0.190841,"https://en.wikipedia.org/wiki/Palpa_1_constituency"
5,Palpa,Palpa 2,UML,"ठाकुर प्रसाद गैरे",62206,0.060219,"https://en.wikipedia.org/wiki/Palpa_2_constituency"
5,Pyuthan,Pyuthan 1,UML,"सूर्य बहादुर  थापा क्षेत्री",83283,0.063686,"https://en.wikipedia.org/wiki/Pyuthan_1_constituency"
5,Rolpa,Rolpa 1,Maoist,"बर्षमान पुन",61710,0.408832,"https://en.wikipedia.org/wiki/Rolpa_1_constituency"
5,Rukum East,Rukum East 1,Maoist,"पूर्ण बहादुर घर्ति मगर",19722,0.35752,"https://en.wikipedia.org/wiki/Rukum_East%201_constituency"
5,Rupandehi,Rupandehi 1,UML,"छविलाल विश्वकर्मा",90227,0.0395,"https://en.wikipedia.org/wiki/Rupandehi_1_constituency"
5,Rupandehi,Rupandehi 2,UML,"विष्‍णु प्रसाद पौडेल",77508,0.017676,"https://en.wikipedia.org/wiki/Rupandehi_2_constituency"
5,Rupandehi,Rupandehi 3,RPP,"दीपक बोहरा",88212,0.030393,"https://en.wikipedia.org/wiki/Rupandehi_3_constituency"
5,Rupandehi,Rupandehi 4,LSP,"सर्वेन्द्र नाथ शुक्ला",71002,0.074589,"https://en.wikipedia.org/wiki/Rupandehi_4_constituency"
5,Rupandehi,Rupandehi 5,UML,"बासु देव घिमिरे",80504,0.120516,"https://en.wikipedia.org/wiki/Rupandehi_5_constituency"
6,Dailekh,Dailekh 1,US,"अम्मर बहादुर थापा",41821,0.020373,"https://en.wikipedia.org/wiki/Dailekh_1_constituency"
6,Dailekh,Dailekh 2,NC,"दिक्पाल कुमार शाहि",44486,0.003754,"https://en.wikipedia.org/wiki/Dailekh_2_constituency"
6,Dolpa,Dolpa 1,US,"धन बहादुर बुढा",17521,0.330289,"https://en.wikipedia.org/wiki/Dolpa_1_constituency"
6,Humla,Humla 1,Maoist,"छिरिङ डम्डुल लामा (भोटे)",24265,0.200082,"https://en.wikipedia.org/wiki/Humla_1_constituency"
6,Jajarkot,Jajarkot 1,Maoist,"शक्ति बहादुर वस्नेत",61637,0.146519,"https://en.wikipedia.org/wiki/Jajarkot_1_constituency"
6,Jumla,Jumla 1,RPP,"ज्ञान बहादुर शाही",42806,0.253703,"https://en.wikipedia.org/wiki/Jumla_1_constituency"
6,Kalikot,Kalikot 1,Maoist,"महेन्द्र बहादुर शाही",44266,0.158338,"https://en.wikipedia.org/wiki/Kalikot_1_constituency"
